member_casual,day_of_week,number_of_rides,average_duration
casual,Sunday,18652,5061.304364143383
casual,Monday,5591,4752.0504382042345
casual,Tuesday,7311,4561.80385720137
casual,Wednesday,7690,4480.372431729546
casual,Thursday,7147,8451.66685322522
casual,Friday,8013,6090.737301884568
casual,Saturday,13473,4950.770800861088
member,Sunday,60197,972.9383357974554
member,Monday,110430,822.3112016661789
member,Tuesday,127974,769.4416287683583
member,Wednesday,121902,711.9837902577588
member,Thursday,125228,707.2092742837035
member,Friday,115168,796.7337888997009
member,Saturday,59413,974.072963829433
